game_team,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ARI,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,PHO,PHO,PHO,PHO,PHO,PHO,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI,ARI
ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL,ATL
BAL,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL
BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF
CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR
CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI
CIN,0,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN
CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE
DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL
DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN
DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET
GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB,GNB
HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU
IND,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX,JAX
KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN,KAN
LAC,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,LAC,LAC,LAC,LAC,LAC,LAC,LAC
LAR,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,RAM,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,STL,LAR,LAR,LAR,LAR,LAR,LAR,LAR,LAR
LVR,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,RAI,RAI,RAI,RAI,RAI,RAI,RAI,RAI,RAI,RAI,RAI,RAI,RAI,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,LVR,LVR,LVR,LVR
MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA,MIA
MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN
NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR
NWE,BOS,BOS,BOS,BOS,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE,NWE
